year,crop,msp_rs_per_quintal
2010,GROUNDNUT,2300
2010,SESAMUM,2900
2010,RAPESEED AND MUSTARD,1850
2010,SUNFLOWER,2215
2010,SAFFLOWER,1800
2010,SOYABEAN,1400
2010,SUGARCANE,145
2010,COTTON,3000
2010,WHEAT,1120
2010,RICE,1000
2011,GROUNDNUT,2700
2011,SESAMUM,3400
2011,RAPESEED AND MUSTARD,2500
2011,SUNFLOWER,2800
2011,SAFFLOWER,2500
2011,SOYABEAN,1650
2011,SUGARCANE,170
2011,COTTON,3300
2011,WHEAT,1285
2011,RICE,1080
2012,GROUNDNUT,3700
2012,SESAMUM,4200
2012,RAPESEED AND MUSTARD,3050
2012,SUNFLOWER,3700
2012,SAFFLOWER,2800
2012,SOYABEAN,2200
2012,SUGARCANE,210
2012,COTTON,3900
2012,WHEAT,1350
2012,RICE,1250
2013,GROUNDNUT,4000
2013,SESAMUM,4500
2013,RAPESEED AND MUSTARD,3050
2013,SUNFLOWER,3700
2013,SAFFLOWER,3000
2013,SOYABEAN,2560
2013,SUGARCANE,220
2013,COTTON,4000
2013,WHEAT,1400
2013,RICE,1310
2014,GROUNDNUT,4000
2014,SESAMUM,4600
2014,RAPESEED AND MUSTARD,3100
2014,SUNFLOWER,3750
2014,SAFFLOWER,3050
2014,SOYABEAN,2560
2014,SUGARCANE,220
2014,COTTON,4050
2014,WHEAT,1450
2014,RICE,1360
2015,GROUNDNUT,4030
2015,SESAMUM,4700
2015,RAPESEED AND MUSTARD,3350
2015,SUNFLOWER,3800
2015,SAFFLOWER,3300
2015,SOYABEAN,2600
2015,SUGARCANE,230
2015,COTTON,4100
2015,WHEAT,1525
2015,RICE,1410
2016,GROUNDNUT,4220
2016,SESAMUM,5000
2016,RAPESEED AND MUSTARD,3700
2016,SUNFLOWER,3950
2016,SAFFLOWER,3700
2016,SOYABEAN,2775
2016,SUGARCANE,230
2016,COTTON,4160
2016,WHEAT,1625
2016,RICE,1470
2017,GROUNDNUT,4450
2017,SESAMUM,5300
2017,RAPESEED AND MUSTARD,4000
2017,SUNFLOWER,4100
2017,SAFFLOWER,4000
2017,SOYABEAN,3050
2017,SUGARCANE,255
2017,COTTON,4320
2017,WHEAT,1735
2017,RICE,1550
