year,State Code,state_name,Dist Name,Crop,area_1000_ha,production_1000_tons,yield_kg_per_ha
2010,14,CHHATTISGARH,Durg,COTTON,0,0,0
2010,14,CHHATTISGARH,Durg,GROUNDNUT,0.51,0.96,1861.6
2010,14,CHHATTISGARH,Durg,OILSEEDS,114.35,112.83,986.66
2010,14,CHHATTISGARH,Durg,RAPESEED AND MUSTARD,6.09,2.17,355.94
2010,14,CHHATTISGARH,Durg,RICE,777.92,1319.18,1695.77
2010,14,CHHATTISGARH,Durg,SAFFLOWER,0.4,0.1,250
2010,14,CHHATTISGARH,Durg,SESAMUM,2.2,0.57,260.12
2010,14,CHHATTISGARH,Durg,SOYABEAN,91.77,105.41,1148.66
2010,14,CHHATTISGARH,Durg,SUGARCANE,4.42,1.13,256.96
2010,14,CHHATTISGARH,Durg,SUNFLOWER,0.4,0.29,725
2010,14,CHHATTISGARH,Durg,WHEAT,46.12,45.87,994.69
2011,14,CHHATTISGARH,Durg,COTTON,0.08,0.02,250
2011,14,CHHATTISGARH,Durg,GROUNDNUT,0.54,0.84,1561.11
2011,14,CHHATTISGARH,Durg,OILSEEDS,106.25,78.18,735.8
2011,14,CHHATTISGARH,Durg,RAPESEED AND MUSTARD,3.84,1.61,418.76
2011,14,CHHATTISGARH,Durg,RICE,806.55,1416.48,1756.23
2011,14,CHHATTISGARH,Durg,SAFFLOWER,0.15,0.03,203.94
2011,14,CHHATTISGARH,Durg,SESAMUM,1.59,0.55,347.76
2011,14,CHHATTISGARH,Durg,SOYABEAN,87.07,69.83,802.03
2011,14,CHHATTISGARH,Durg,SUGARCANE,4.07,2.06,506.02
2011,14,CHHATTISGARH,Durg,SUNFLOWER,0.18,0.15,833.33
2011,14,CHHATTISGARH,Durg,WHEAT,44.98,50.19,1115.68
2012,14,CHHATTISGARH,Durg,COTTON,0.13,0.02,153.85
2012,14,CHHATTISGARH,Durg,GROUNDNUT,0.48,0.72,1502.72
2012,14,CHHATTISGARH,Durg,OILSEEDS,104.27,109.66,1051.69
2012,14,CHHATTISGARH,Durg,RAPESEED AND MUSTARD,3.77,1.64,434.56
2012,14,CHHATTISGARH,Durg,RICE,807.07,1534.22,1900.97
2012,14,CHHATTISGARH,Durg,SAFFLOWER,0.36,0.09,252.03
2012,14,CHHATTISGARH,Durg,SESAMUM,1.72,0.47,272.66
2012,14,CHHATTISGARH,Durg,SOYABEAN,85.05,101.62,1194.76
2012,14,CHHATTISGARH,Durg,SUGARCANE,4.97,1.26,252.98
2012,14,CHHATTISGARH,Durg,SUNFLOWER,0.19,0.14,736.84
2012,14,CHHATTISGARH,Durg,WHEAT,43.87,47.69,1087.1
2013,14,CHHATTISGARH,Durg,COTTON,0.05,0.01,200
2013,14,CHHATTISGARH,Durg,GROUNDNUT,0.49,0.9,1817.44
2013,14,CHHATTISGARH,Durg,OILSEEDS,108.22,99.31,917.64
2013,14,CHHATTISGARH,Durg,RAPESEED AND MUSTARD,3.57,1.68,469.08
2013,14,CHHATTISGARH,Durg,RICE,819.44,1296.24,1581.86
2013,14,CHHATTISGARH,Durg,SAFFLOWER,0.23,0.05,217.39
2013,14,CHHATTISGARH,Durg,SESAMUM,1.44,0.37,258.89
2013,14,CHHATTISGARH,Durg,SOYABEAN,92.28,92.65,1003.99
2013,14,CHHATTISGARH,Durg,SUGARCANE,3.94,0.93,237.45
2013,14,CHHATTISGARH,Durg,SUNFLOWER,0.24,0.11,458.33
2013,14,CHHATTISGARH,Durg,WHEAT,41.54,43.33,1043.06
2014,14,CHHATTISGARH,Durg,COTTON,0.05,0.02,400
2014,14,CHHATTISGARH,Durg,GROUNDNUT,0.43,0.7,1627.06
2014,14,CHHATTISGARH,Durg,OILSEEDS,99.93,46.2,462.3
2014,14,CHHATTISGARH,Durg,RAPESEED AND MUSTARD,3.73,1.76,473.43
2014,14,CHHATTISGARH,Durg,RICE,834.87,1444.24,1729.89
2014,14,CHHATTISGARH,Durg,SAFFLOWER,0.23,0.05,217.39
2014,14,CHHATTISGARH,Durg,SESAMUM,1.25,0.53,425.14
2014,14,CHHATTISGARH,Durg,SOYABEAN,85.84,39.93,465.22
2014,14,CHHATTISGARH,Durg,SUGARCANE,5.75,3.46,602.17
2014,14,CHHATTISGARH,Durg,SUNFLOWER,0.2,0.1,500
2014,14,CHHATTISGARH,Durg,WHEAT,44.25,50.96,1151.49
2015,14,CHHATTISGARH,Durg,COTTON,0.05,0.01,200
2015,14,CHHATTISGARH,Durg,GROUNDNUT,0.44,0.75,1687.82
2015,14,CHHATTISGARH,Durg,OILSEEDS,113.88,37.19,326.61
2015,14,CHHATTISGARH,Durg,RAPESEED AND MUSTARD,4.88,2.41,493.81
2015,14,CHHATTISGARH,Durg,RICE,817.68,880.6,1076.95
2015,14,CHHATTISGARH,Durg,SAFFLOWER,0.36,0.12,333.33
2015,14,CHHATTISGARH,Durg,SESAMUM,2.34,0.87,374.48
2015,14,CHHATTISGARH,Durg,SOYABEAN,98.2,49.1,500.02
2015,14,CHHATTISGARH,Durg,SUGARCANE,11.23,2.57,228.49
2015,14,CHHATTISGARH,Durg,SUNFLOWER,0.05,0.04,800
2015,14,CHHATTISGARH,Durg,WHEAT,48.72,54.6,1120.74
2016,14,CHHATTISGARH,Durg,COTTON,0.06,0.02,317.81
2016,14,CHHATTISGARH,Durg,GROUNDNUT,0.35,0.7,2020.21
2016,14,CHHATTISGARH,Durg,OILSEEDS,0,0,0
2016,14,CHHATTISGARH,Durg,RAPESEED AND MUSTARD,4.27,1.89,442.1
2016,14,CHHATTISGARH,Durg,RICE,858.91,1791.66,2085.96
2016,14,CHHATTISGARH,Durg,SAFFLOWER,0.08,0.03,349.4
2016,14,CHHATTISGARH,Durg,SESAMUM,2.06,0.78,377.4
2016,14,CHHATTISGARH,Durg,SOYABEAN,81.71,60.69,742.71
2016,14,CHHATTISGARH,Durg,SUGARCANE,18.52,7.21,389.38
2016,14,CHHATTISGARH,Durg,SUNFLOWER,0.02,0,0
2016,14,CHHATTISGARH,Durg,WHEAT,48.94,61.84,1263.55
2017,14,CHHATTISGARH,Durg,COTTON,0.45,0.13,297.85
2017,14,CHHATTISGARH,Durg,GROUNDNUT,0.45,0.77,1722.94
2017,14,CHHATTISGARH,Durg,OILSEEDS,0,0,0
2017,14,CHHATTISGARH,Durg,RAPESEED AND MUSTARD,4.7,2,425.21
2017,14,CHHATTISGARH,Durg,RICE,841.13,983.21,1168.92
2017,14,CHHATTISGARH,Durg,SAFFLOWER,0.29,0.12,395.19
2017,14,CHHATTISGARH,Durg,SESAMUM,1.8,0.49,273.92
2017,14,CHHATTISGARH,Durg,SOYABEAN,77.4,25.02,323.3
2017,14,CHHATTISGARH,Durg,SUGARCANE,19.85,3.59,181.06
2017,14,CHHATTISGARH,Durg,SUNFLOWER,0.01,0,0
2017,14,CHHATTISGARH,Durg,WHEAT,43.5,50.19,1153.77
2010,14,CHHATTISGARH,Bastar,COTTON,0,0,0
2010,14,CHHATTISGARH,Bastar,GROUNDNUT,0,0,0
2010,14,CHHATTISGARH,Bastar,OILSEEDS,24.23,7.35,303.34
2010,14,CHHATTISGARH,Bastar,RAPESEED AND MUSTARD,5.9,2.6,440.68
2010,14,CHHATTISGARH,Bastar,RICE,621.89,1184.98,1905.45
2010,14,CHHATTISGARH,Bastar,SAFFLOWER,0,0,0
2010,14,CHHATTISGARH,Bastar,SESAMUM,2.44,1.01,413.93
2010,14,CHHATTISGARH,Bastar,SOYABEAN,0,0,0
2010,14,CHHATTISGARH,Bastar,SUGARCANE,1.02,0.12,117.65
2010,14,CHHATTISGARH,Bastar,SUNFLOWER,0.03,0.02,666.67
2010,14,CHHATTISGARH,Bastar,WHEAT,1.6,3.2,2000
2011,14,CHHATTISGARH,Bastar,COTTON,0,0,0
2011,14,CHHATTISGARH,Bastar,GROUNDNUT,0.01,0.01,1000
2011,14,CHHATTISGARH,Bastar,OILSEEDS,22.57,7.5,332.3
